wsi_di_SWP
wsi     di
0.0 0.0
500.0 1857.359130859375
1000.0 1857.359130859375
1500.0 1857.359130859375
2000.0 1857.359130859375
2500.0 1924.4411824043916
3000.0 2270.7195647679823
3500.0 2879.741097359883
4000.0 3569.837415257923
4500.0 4674.678243015296
5000.0 5459.610743152586
5500.0 6118.746267014369
6000.0 7075.630806446816
6500.0 7471.033438804098
7000.0 7504.619605070788
7500.0 7560.994904946899
8000.0 7758.582923195104
8500.0 7758.582923195104
9000.0 7758.582923195104
9500.0 7758.582923195104
10000.0 7758.582923195104
10500.0 7758.582923195104
11000.0 7758.582923195104
11500.0 7758.582923195104
12000.0 7758.582923195104
12500.0 7758.582923195104
13000.0 7758.582923195104
13500.0 7758.582923195104
14000.0 7758.582923195104
14500.0 7758.582923195104
15000.0 7758.582923195104
15500.0 7758.582923195104
16000.0 7758.582923195104
16500.0 7758.582923195104
17000.0 7758.582923195104
17500.0 7758.582923195104
18000.0 7758.582923195104
18500.0 7758.582923195104
19000.0 7758.582923195104
19500.0 7758.582923195104
20000.0 7758.582923195104
