wsi_di_SWP
wsi     di
0.0 0.0
500.0 1729.1566162109375
1000.0 1729.1566162109375
1500.0 1729.1566162109375
2000.0 1729.1566162109375
2500.0 1729.1566162109375
3000.0 1729.1566162109375
3500.0 2479.8284318608894
4000.0 3153.846067080737
4500.0 4458.8359646159615
5000.0 5355.367556710677
5500.0 6220.312635181424
6000.0 7463.006345510283
6500.0 7990.4443311895475
7000.0 8216.492869982676
7500.0 8370.111614666605
8000.0 8370.111614666605
8500.0 8370.111614666605
9000.0 8370.111614666605
9500.0 8370.111614666605
10000.0 8370.111614666605
10500.0 8370.111614666605
11000.0 8370.111614666605
11500.0 8370.111614666605
12000.0 8370.111614666605
12500.0 8370.111614666605
13000.0 8370.111614666605
13500.0 8370.111614666605
14000.0 8370.111614666605
14500.0 8370.111614666605
15000.0 8370.111614666605
15500.0 8370.111614666605
16000.0 8370.111614666605
16500.0 8370.111614666605
17000.0 8370.111614666605
17500.0 8370.111614666605
18000.0 8370.111614666605
18500.0 8370.111614666605
19000.0 8370.111614666605
19500.0 8370.111614666605
20000.0 8370.111614666605
