!	New Baselines version (Feb2010)
!	2030 Level of Development Assumptions
!	source spreadsheet: BST_SWP_SOD_2030_022510.xls		
swp_3pattern_demands					
contractor	month	percent	demand	remainDemand	
	23	8	30	38.34	301.72
	23	9	30	36.67	263.37
	23	10	30	38.34	226.71
	23	11	30	38.34	188.36
	23	12	30	36.67	150.02
	23	1	30	38.34	113.35
	23	2	30	36.67	75.01
	23	3	30	38.34	38.34
	24	4	30	33.71	744.36
	24	5	30	60.21	710.65
	24	6	30	65.79	650.44
	24	7	30	63.93	584.65
	24	8	30	65.79	520.72
	24	9	30	63.93	454.93
	24	10	30	65.79	391
	24	11	30	65.79	325.22
	24	12	30	63.93	259.43
	24	1	30	65.79	195.5
	24	2	30	63.93	129.71
	24	3	30	65.78	65.78
	25	4	30	31.2	367.38
	25	5	30	28.18	336.17
	25	6	30	31.2	307.99
	25	7	30	30.2	276.79
	25	8	30	31.2	246.59
	25	9	30	30.2	215.39
	25	10	30	31.2	185.2
	25	11	30	31.2	154
	25	12	30	30.19	122.79
	25	1	30	31.2	92.6
	25	2	30	30.2	61.4
	25	3	30	31.2	31.2
	26	4	30	8.34	37.9
	26	5	30	8.34	29.56
	26	6	30	4.41	21.22
	26	7	30	1.53	16.81
	26	8	30	2.09	15.28
	26	9	30	0.91	13.19
	26	10	30	1.54	12.28
	26	11	30	2.16	10.74
	26	12	30	1.91	8.57
	26	1	30	1.89	6.66
	26	2	30	2.81	4.78
	26	3	30	1.97	1.97
	27	4	30	1.11	29.02
	27	5	30	1.14	27.91
	27	6	30	1.38	26.77
	27	7	30	3.32	25.39
	27	8	30	3.19	22.06
	27	9	30	3.19	18.87
	27	10	30	3.19	15.68
	27	11	30	3.19	12.49
	27	12	30	3.19	9.29
	27	1	30	3.61	6.1
	27	2	30	1.28	2.49
	27	3	30	1.21	1.21
	28	4	30	0.11	5.7
	28	5	30	0.17	5.59
	28	6	30	0.34	5.42
	28	7	30	0.46	5.07
	28	8	30	0.57	4.62
	28	9	30	0.91	4.05
	28	10	30	1.03	3.14
	28	11	30	1.03	2.11
	28	12	30	0.51	1.08
	28	1	30	0.23	0.57
	28	2	30	0.17	0.34
	28	3	30	0.17	0.17
	29	4	30	1.5	21.3
	29	5	30	1.5	19.8
	29	6	30	1	18.3
	29	7	30	1	17.3
	29	8	30	1.97	16.3
	29	9	30	2.34	14.34
	29	10	30	2.34	11.99
	29	11	30	2.34	9.65
	29	12	30	2.34	7.31
	29	1	30	1.86	4.96
	29	2	30	1.72	3.11
	29	3	30	1.39	1.39
	30	4	30	8.74	91.2
	30	5	30	8.32	82.46
	30	6	30	6.05	74.14
	30	7	30	6.67	68.09
	30	8	30	8.89	61.42
	30	9	30	9.6	52.53
	30	10	30	9.6	42.93
	30	11	30	9.6	33.33
	30	12	30	9.6	23.73
	30	1	30	5.78	14.13
	30	2	30	4.18	8.36
	30	3	30	4.18	4.18
	31	4	30	0.9	28.8
	31	5	30	0.9	27.9
	31	6	30	0.9	27.01
	31	7	30	3.46	26.11
	31	8	30	3.17	22.66
	31	9	30	3.17	19.49
	31	10	30	3.17	16.32
	31	11	30	3.17	13.15
	31	12	30	3.3	9.98
	31	1	30	3.3	6.69
	31	2	30	2.5	3.39
	31	3	30	0.9	0.9
	32	4	30	1.44	17.3
	32	5	30	1.44	15.86
	32	6	30	1.44	14.42
	32	7	30	1.44	12.97
	32	8	30	1.44	11.53
	32	9	30	1.44	10.09
	32	10	30	1.44	8.65
	32	11	30	1.44	7.21
	32	12	30	1.44	5.76
	32	1	30	1.44	4.32
	32	2	30	1.44	2.88
	32	3	30	1.44	1.44
	33	4	30	2.08	25
	33	5	30	2.08	22.92
	33	6	30	2.08	20.83
	33	7	30	2.08	18.75
	33	8	30	2.08	16.67
	33	9	30	2.08	14.59
	33	10	30	2.08	12.5
	33	11	30	2.08	10.42
	33	12	30	2.08	8.34
	33	1	30	2.08	6.25
	33	2	30	2.08	4.17
	33	3	30	2.09	2.09
	34	4	30	2.85	45.49
	34	5	30	2.73	42.64
	34	6	30	3.44	39.91
	34	7	30	3.96	36.48
	34	8	30	4.32	32.51
	34	9	30	4.47	28.19
	34	10	30	4.45	23.73
	34	11	30	4.42	19.27
	34	12	30	4.41	14.85
	34	1	30	3.77	10.44
	34	2	30	3.46	6.67
	34	3	30	3.21	3.21
	35	4	30	7.5	100
	35	5	30	7	92.5
	35	6	30	7.9	85.5
	35	7	30	8.4	77.6
	35	8	30	8.7	69.2
	35	9	30	9.1	60.5
	35	10	30	9.2	51.4
	35	11	30	9.3	42.2
	35	12	30	8.9	32.9
	35	1	30	8.2	24
	35	2	30	7.9	15.8
	35	3	30	7.9	7.9
	36	4	30	2.59	47.76
	36	5	30	2.77	45.17
	36	6	30	2.92	42.41
	36	7	30	3.36	39.49
	36	8	30	4.14	36.13
	36	9	30	5.3	31.98
	36	10	30	5.25	26.68
	36	11	30	5.25	21.43
	36	12	30	4.95	16.17
	36	1	30	4.42	11.22
	36	2	30	3.95	6.8
	36	3	30	2.85	2.85
	37	4	30	1.44	96.23
	37	5	30	1.44	94.79
	37	6	30	1.44	93.36
	37	7	30	5.84	91.92
	37	8	30	4.11	86.09
	37	9	30	17.32	81.98
	37	10	30	17.32	64.66
	37	11	30	17.32	47.33
	37	12	30	1.87	30.01
	37	1	30	1.87	28.15
	37	2	30	9.8	26.28
	37	3	30	16.47	16.47
	38	4	30	0	3.15
	38	5	30	0	3.15
	38	6	30	0	3.15
	38	7	30	0	3.15
	38	8	30	0	3.15
	38	9	30	0.2	3.15
	38	10	30	0.61	2.95
	38	11	30	0.61	2.33
	38	12	30	1.05	1.72
	38	1	30	0.55	0.67
	38	2	30	0.12	0.12
	38	3	30	0	0
	39	4	30	1.04	16.85
	39	5	30	1.04	15.81
	39	6	30	1.04	14.77
	39	7	30	2.2	13.73
	39	8	30	2.2	11.53
	39	9	30	2	9.33
	39	10	30	1.59	7.33
	39	11	30	1.59	5.75
	39	12	30	1.04	4.16
	39	1	30	1.04	3.12
	39	2	30	1.04	2.08
	39	3	30	1.04	1.04
